vertical,business_name,canton,province,website,has_website,https,mobile_friendly,page_speed,seo_score,contact_name,phone,whatsapp,email,instagram,status,last_contact,next_action,notes
Clinicas,Clinica Dermatologica San Jose,San Jose,San Jose,http://dermasanjose.cr,si,no,no,38,22,Dra. Marta Vargas,2100-0011,8700-0011,info@dermasanjose.cr,@dermasanjose,nuevo,,Enviar WhatsApp inicial,Sitio en HTTP sin candado; sin meta description
Clinicas,Clinica Estetica Escazu,Escazu,San Jose,https://esteticaescazu.com,si,si,no,41,34,Lic. Carlos Mora,2100-0022,8700-0022,contacto@esteticaescazu.com,@esteticaescazu,nuevo,,Enviar WhatsApp inicial,Sitio no responsive en movil; sin Google Business optimizado
Clinicas,Centro Medico Heredia,Heredia,Heredia,,no,no,no,0,8,Dr. Luis Jimenez,2100-0033,8700-0033,centromedicoheredia@gmail.com,@centromedicoheredia,nuevo,,Enviar WhatsApp inicial,Sin sitio web; solo Instagram. Oportunidad plan completo
Clinicas,Clinica Salud Integral Alajuela,Alajuela,Alajuela,http://saludintegralalajuela.cr,si,no,no,29,18,Dra. Ana Solano,2100-0044,8700-0044,info@saludintegralalajuela.cr,@saludintegralcr,nuevo,,Enviar WhatsApp inicial,HTTP; carga lenta (>6s); sin agenda online
Clinicas,Clinica del Bienestar Cartago,Cartago,Cartago,,no,no,no,0,5,Lic. Roberto Quesada,2100-0055,8700-0055,bienestarcartago@gmail.com,@bienestarcartago,nuevo,,Enviar WhatsApp inicial,Sin web; reseñas dispersas. Plan intermedio sugerido
Dentistas,Dental Sonrisas Curridabat,Curridabat,San Jose,https://sonrisascurridabat.com,si,si,si,52,40,Dr. Esteban Rojas,2100-0066,8700-0066,citas@sonrisascurridabat.com,@sonrisascurridabat,contactado,2026-06-20,Agendar llamada demo,Base decente; falta Schema y blog. Upsell plan intermedio
Dentistas,Odontologia Moreno,Heredia,Heredia,http://odontologiamoreno.cr,si,no,no,33,21,Dra. Sofia Moreno,2100-0077,8700-0077,info@odontologiamoreno.cr,@odontologiamoreno,nuevo,,Enviar WhatsApp inicial,HTTP; imagenes sin alt; sin WhatsApp click-to-chat
Dentistas,Clinica Dental Alajuela Centro,Alajuela,Alajuela,,no,no,no,0,7,Dr. Diego Castro,2100-0088,8700-0088,dentalalajuelacentro@gmail.com,@dentalalajuela,nuevo,,Enviar WhatsApp inicial,Sin web; alta competencia local. Plan completo
Dentistas,DentalCare Tres Rios,La Union,Cartago,https://dentalcaretresrios.com,si,si,no,44,31,Lic. Karla Vega,2100-0099,8700-0099,hola@dentalcaretresrios.com,@dentalcaretresrios,nuevo,,Enviar WhatsApp inicial,No responsive; mala indexacion movil
Dentistas,Sonrisa Perfecta Santa Ana,Santa Ana,San Jose,http://sonrisaperfectasantaana.cr,si,no,no,36,24,Dra. Paola Herrera,2100-0110,8700-0110,info@sonrisaperfectasantaana.cr,@sonrisaperfectacr,nuevo,,Enviar WhatsApp inicial,HTTP; sin posicionamiento por keywords locales
Pymes,Veterinaria Patitas Felices,Desamparados,San Jose,,no,no,no,0,6,Lic. Andres Ramirez,2100-0121,8700-0121,patitasfelices@gmail.com,@patitasfelicescr,nuevo,,Enviar WhatsApp inicial,Solo redes; sin web ni Google Maps. Plan basico de entrada
Pymes,Spa Relax Heredia,Heredia,Heredia,https://sparelaxheredia.com,si,si,no,47,29,Lic. Natalia Campos,2100-0132,8700-0132,reservas@sparelaxheredia.com,@sparelaxheredia,contactado,2026-06-22,Enviar propuesta,No responsive; sin reservas online. Plan intermedio
Pymes,Gimnasio FitZone Alajuela,Alajuela,Alajuela,http://fitzonealajuela.cr,si,no,no,31,17,Lic. Mario Brenes,2100-0143,8700-0143,info@fitzonealajuela.cr,@fitzonecr,nuevo,,Enviar WhatsApp inicial,HTTP; carga muy lenta; sin SEO local
Pymes,Optica VisionPlus,San Jose,San Jose,,no,no,no,0,9,Lic. Gabriela Soto,2100-0154,8700-0154,visionplus.cr@gmail.com,@visionpluscr,nuevo,,Enviar WhatsApp inicial,Sin web; competencia con cadenas. Plan completo
Pymes,Fisioterapia Movimiento Cartago,Cartago,Cartago,https://fisiomovimientocartago.com,si,si,si,55,42,Lic. Jose Pablo Arce,2100-0165,8700-0165,citas@fisiomovimientocartago.com,@fisiomovimientocr,nuevo,,Enviar WhatsApp inicial,Mejor de la lista; optimizar velocidad y Schema. Upsell
